Longitude,Latitude,Date,Accident_Severity
-0.168286,51.463471000000006,2016-12-11 23:59:59,3
1.361577,51.359969,2016-09-20 23:59:59,2
-0.9786739999999999,51.421735,2016-03-12 23:59:59,3
-1.4405219999999999,52.902809,2016-12-15 23:59:59,3
-4.1280339999999995,55.867098999999996,2016-03-30 23:59:59,3
-0.984067,50.898284999999994,2016-01-02 23:59:59,3
-0.196073,51.405,2016-01-01 23:59:59,3
-0.053832000000000005,51.510818,2016-06-21 23:59:59,3
-1.5195319999999999,52.40753,2016-05-10 23:59:59,3
-0.74149,51.29867,2016-12-12 23:59:59,3
0.354664,51.478359999999995,2016-08-29 23:59:59,3
-0.223169,51.806478000000006,2016-01-11 23:59:59,3
-1.666234,52.626459,2016-03-03 23:59:59,3
-0.742781,51.629721999999994,2016-01-24 23:59:59,3
-0.196163,51.66165,2016-03-26 23:59:59,3
-2.302821,53.067689,2016-04-05 23:59:59,3
-2.7838979999999998,52.707278,2016-12-13 23:59:59,2
-2.7507490000000003,51.346251,2016-05-31 23:59:59,3
-0.09095700000000001,51.660256,2016-04-02 23:59:59,3
-1.307505,52.885837,2016-01-08 23:59:59,3
-1.355472,50.898371999999995,2016-11-30 23:59:59,3
-1.350718,52.716866,2016-08-12 23:59:59,3
-0.270013,52.58665799999999,2016-04-27 23:59:59,3
0.02134,51.45415,2016-01-14 23:59:59,3
0.05386799999999999,51.645590999999996,2016-12-04 23:59:59,3
-0.058279,51.548571,2016-07-03 23:59:59,3
-0.11134200000000001,51.531542,2016-10-26 23:59:59,3
-0.139407,51.412477,2016-04-27 23:59:59,3
-0.233236,51.418156,2016-06-17 23:59:59,3
-3.174689,56.131899,2016-05-27 23:59:59,2
-0.001139,53.374152,2016-09-19 23:59:59,3
-1.923443,52.650853000000005,2016-08-13 23:59:59,3
-1.352283,53.189403000000006,2016-05-07 23:59:59,3
-1.4319520000000001,54.34800799999999,2016-12-10 23:59:59,3
-4.721984,55.705985,2016-03-05 23:59:59,2
-0.015925,51.454516999999996,2016-08-10 23:59:59,3
0.7440979999999999,52.244575,2016-10-24 23:59:59,3
-3.0553,56.191084,2016-03-15 23:59:59,3
-2.213218,53.513842000000004,2016-10-19 23:59:59,3
-4.180832,50.390121,2016-11-19 23:59:59,3
-1.395877,52.37706,2016-07-22 23:59:59,3
-1.876769,52.464064,2016-05-15 23:59:59,3
-0.954131,54.386984,2016-08-06 23:59:59,3
-1.876579,52.453015,2016-06-17 23:59:59,3
-1.179539,52.271124,2016-05-12 23:59:59,3
-1.9254200000000001,52.417895,2016-05-17 23:59:59,2
0.217573,52.11854,2016-12-24 23:59:59,3
0.46844300000000005,51.392163000000004,2016-01-29 23:59:59,3
-0.75469,51.633815000000006,2016-03-10 23:59:59,3
-1.42551,52.919385999999996,2016-06-09 23:59:59,2
0.002449,51.604473999999996,2016-11-19 23:59:59,3
-2.8951700000000002,53.432639,2016-06-23 23:59:59,3
-3.4812199999999995,51.205256,2016-05-10 23:59:59,3
0.002101,51.570308000000004,2016-05-01 23:59:59,3
-0.38813800000000004,51.462922999999996,2016-03-02 23:59:59,3
-2.127575,52.979147,2016-06-11 23:59:59,3
-0.594967,52.930349,2016-07-25 23:59:59,3
-1.7527549999999998,53.81122,2016-09-20 23:59:59,3
-1.35503,50.874755,2016-08-19 23:59:59,3
-0.13455899999999998,51.485601,2016-08-18 23:59:59,3
-3.210441,51.842626,2016-05-25 23:59:59,3
-3.0608459999999997,51.709502,2016-01-14 23:59:59,3
-0.878598,53.714763,2016-10-02 23:59:59,3
-0.086498,51.525744,2016-01-30 23:59:59,2
-2.1649700000000003,53.446117,2016-08-03 23:59:59,3
-0.116969,51.555913000000004,2016-05-28 23:59:59,3
-0.702457,51.310474,2016-02-15 23:59:59,2
-1.006722,51.326012,2016-05-09 23:59:59,3
-0.055514999999999995,51.444209,2016-11-15 23:59:59,3
-0.222176,51.499282,2016-03-02 23:59:59,3
-0.222127,51.500541,2016-10-15 23:59:59,3
-0.268102,51.625505,2016-06-29 23:59:59,3
-2.677556,51.489686999999996,2016-05-01 23:59:59,3
-4.177262000000001,55.80967,2016-11-07 23:59:59,3
0.082725,51.540936,2016-01-04 23:59:59,3
0.25595,50.862016,2016-09-28 23:59:59,2
-5.0506459999999995,50.263272,2016-07-18 23:59:59,3
0.463521,51.569214,2016-03-03 23:59:59,3
-3.180056,55.978124,2016-02-24 23:59:59,3
0.48321000000000003,51.262341,2016-09-09 23:59:59,3
0.680124,51.773693,2016-11-04 23:59:59,3
-0.33258499999999996,51.454593,2016-11-29 23:59:59,3
-2.659903,53.699093000000005,2016-07-07 23:59:59,3
-3.264618,51.421332,2016-11-28 23:59:59,3
0.905199,51.310421000000005,2016-05-21 23:59:59,2
-0.130182,51.423571,2016-11-09 23:59:59,3
-2.595787,51.458677,2016-05-11 23:59:59,2
-3.840519,51.86161,2016-04-02 23:59:59,3
-4.217327,51.043749,2016-04-18 23:59:59,3
0.144377,51.560869,2016-02-12 23:59:59,3
-1.372873,52.540636,2016-12-08 23:59:59,3
-1.2405620000000002,52.938,2016-09-16 23:59:59,3
-1.996623,52.700439,2016-03-04 23:59:59,3
-0.855333,51.797697,2016-04-05 23:59:59,3
-0.6886899999999999,51.598017999999996,2016-02-11 23:59:59,2
-1.806026,53.795669999999994,2016-06-17 23:59:59,3
-4.16716,55.119439,2016-07-22 23:59:59,3
-3.241696,55.956223,2016-03-07 23:59:59,3
1.124331,52.378341,2016-11-07 23:59:59,3
-2.182982,51.853790999999994,2016-07-25 23:59:59,3
-3.5168150000000002,50.723622999999996,2016-02-24 23:59:59,3
-2.7396439999999997,53.367940000000004,2016-12-21 23:59:59,2
-0.449539,54.19880500000001,2016-05-14 23:59:59,3
-4.24335,55.838213,2016-04-28 23:59:59,3
-1.7297650000000002,51.169691,2016-11-05 23:59:59,3
-1.746519,54.713693000000006,2016-12-16 23:59:59,3
-0.245998,52.606543,2016-07-21 23:59:59,3
-1.859261,50.737919,2016-05-01 23:59:59,3
0.25954299999999997,51.195914,2016-09-06 23:59:59,3
-1.523048,52.423716999999996,2016-10-22 23:59:59,3
-0.710126,51.578312,2016-06-17 23:59:59,3
-2.522475,53.504208,2016-10-17 23:59:59,3
0.09679600000000001,51.426564,2016-08-07 23:59:59,3
-2.3652830000000002,53.305915,2016-02-07 23:59:59,2
-0.382287,51.646458,2016-08-25 23:59:59,3
-0.49759799999999993,53.201567000000004,2016-08-01 23:59:59,3
